iter	Passed	Remaining
1619	111051	12544
1620	111150	12479
1621	111232	12412
1622	111310	12345
1623	111396	12278
1624	111480	12211
1625	111566	12144
1626	111656	12078
1627	111752	12012
1628	111847	11946
1629	111937	11880
1630	112021	11813
1631	112098	11745
1632	112165	11676
1633	112237	11608
1634	112306	11539
1635	112381	11471
1636	112454	11403
1637	112546	11337
1638	112636	11270
1639	112719	11203
1640	112792	11134
1641	112888	11068
1642	112970	11001
1643	113040	10932
1644	113129	10865
1645	113228	10800
1646	113319	10733
1647	113414	10666
1648	113494	10599
1649	113574	10531
1650	113645	10462
1651	113738	10396
1652	113825	10328
1653	113915	10262
1654	113991	10193
1655	114078	10126
1656	114138	10056
1657	114218	9988
1658	114313	9922
1659	114385	9853
1660	114469	9786
1661	114537	9717
